Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Mexico,MEX,93.1904067993164,93.9011993408203,94.4415130615234,94.5921630859375,94.9165725708008,94.3839416503906,94.7827682495117,95.3916320800781,95.1121063232422,95.6204681396484,95.5493316650391,95.8448181152344,95.8723678588867,96.2329025268555,..,96.0587463378906
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Indonesia,IDN,..,95.1585388183594,..,95.383186340332,95.6470108032227,..,95.5910873413086,..,..,96.7910079956055,97.1065216064453,97.1744384765625,..,97.3313369750977,..,97.4493103027344
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Thailand,THA,95.6002426147461,..,..,..,..,96.4350204467773,..,..,95.2512588500977,..,94.6591186523438,..,..,95.202392578125,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,South Africa,ZAF,..,..,90.7175903320313,..,94.1214599609375,94.1438522338867,94.2450866699219,94.9637222290039,..,95.2868499755859,95.3965301513672,..,87.6777496337891,..,95.5453720092773,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,79.9741516113281,..,..,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,87.7648086547852,..,..,89.1853713989258,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Cambodia,KHM,..,..,..,69.5864105224609,69.109016418457,..,..,..,..,71.7817993164063,75.0338668823242,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Mexico,MEX,90.2104110717773,89.8345108032227,91.3555526733398,91.45361328125,92.1162490844727,91.8534164428711,92.3382797241211,93.1792373657227,92.903938293457,93.5913391113281,93.4854965209961,93.9685211181641,94.1657562255859,94.6080474853516,..,94.4951324462891
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Indonesia,IDN,..,88.786979675293,..,89.1013870239258,89.677116394043,..,90.0687026977539,..,..,93.4508972167969,93.3357086181641,93.5869216918945,..,93.9921798706055,..,94.5523529052734
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Thailand,THA,91.5295715332031,..,..,..,..,96.4270477294922,..,..,92.2491607666016,..,91.1919326782227,..,..,92.4285583496094,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,South Africa,ZAF,..,..,87.043098449707,..,91.7681579589844,91.7139892578125,92.0478897094727,92.5862503051758,..,93.0730590820313,93.4080276489258,..,86.4586334228516,..,94.5331726074219,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,53.4072113037109,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,80.0656585693359,..,..,88.2838287353516,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Canada,CAN,..,..,..,..,..,..,..,99.45167,99.43231,99.39113,99.58907,99.95587,99.8825,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Cambodia,KHM,..,94.83255,95.88748,94.57758,..,93.61728,97.51867,97.40673,..,95.04806,95.26797,92.75899,90.54321,90.26554,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,United States,USA,94.77826,..,..,..,..,93.37426,92.44255,92.79303,92.80851,93.2305,93.8973,95.07325,94.62633,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Mexico,MEX,97.87734,98.05008,98.0127,98.08626,98.23304,98.0771,97.98488,97.92299,97.57591,96.79833,96.07343,95.69118,95.30064,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Indonesia,IDN,88.93075,91.79173,93.81578,93.13418,93.76106,94.22952,93.73808,92.85318,90.5756,90.00059,..,92.77266,94.09782,93.4963,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Thailand,THA,..,98.9104,98.48923,97.95392,98.08255,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,South Africa,ZAF,88.64586,..,..,..,..,..,..,..,..,..,84.35479,..,87.01258,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Angola,AGO,..,..,..,75.37373,74.65254,75.80242,78.02393,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Zimbabwe,ZWE,..,..,..,..,..,..,..,94.17241,94.14912,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Canada,CAN,..,..,..,..,..,..,..,92.14326,91.46145,90.95273,92.4135,99.32178,99.80968,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Cambodia,KHM,..,32.26357,35.91496,38.33132,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,United States,USA,89.34377,..,..,..,..,88.38466,89.75284,89.29903,89.46575,89.86874,91.27156,92.18317,92.45022,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mexico,MEX,66.67768,67.83849,68.93457,69.60395,69.68225,70.08479,70.65515,71.82661,75.56968,77.66257,80.02575,81.22278,81.15596,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Indonesia,IDN,53.3964,57.5779,64.8416,64.02634,64.76545,66.64897,72.91917,74.17695,75.36034,75.21275,75.77185,..,..,78.73112,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Thailand,THA,..,69.59192,73.2857,75.39528,77.17242,77.10383,79.4745,76.52904,..,78.79973,77.27069,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,South Africa,ZAF,66.15872,..,..,..,..,..,..,..,..,..,90.54401,..,71.92661,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Angola,AGO,..,..,..,9.15376,9.63002,11.29064,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Zimbabwe,ZWE,..,..,..,..,..,..,..,47.8753,48.73362,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Canada,CAN,4.76588010787964,..,4.7664098739624,4.62612009048462,4.84057998657227,5.356369972229,5.26205015182495,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cambodia,KHM,..,..,1.59930002689362,..,1.66568005084991,1.53378999233246,1.51068997383118,1.56089997291565,2.05053997039795,1.90938997268677,..,..,..,2.16285991668701,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mexico,MEX,4.84568977355957,4.69992017745972,4.69050979614258,4.82006978988647,5.18794012069702,5.15922021865845,5.10564994812012,5.10309982299805,4.69605016708374,5.25747013092041,5.22942018508911,4.90681982040405,4.51821994781494,4.25442981719971,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Indonesia,IDN,2.8728199005127,..,3.04425001144409,2.90190005302429,3.52513003349304,2.81227993965149,3.18944001197815,3.40748000144959,3.35904002189636,3.28800988197327,3.58360004425049,3.5,2.6699800491333,3,2.84185004234314,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Thailand,THA,3.93859004974365,4.05038022994995,3.60314989089966,3.50850009918213,3.86193990707397,3.5084400177002,4.80555009841919,4.53670978546143,4.12402009963989,3.72356009483337,3.75967001914978,3.63752007484436,3.3557300567627,3.05677008628845,2.96898007392883,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Africa,ZAF,5.06319999694824,5.07256984710693,4.97414016723633,4.86600017547607,5.24869012832642,5.72173976898193,5.88102006912231,6.07742023468018,5.86465978622437,5.99946022033691,5.95619010925293,5.94285011291504,6.11305999755859,6.15898990631104,6.50505018234253,6.83613014221191
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,2.12011003494263,2.28146004676819,..,..,..,3.42131996154785,3.2437698841095,3.27847003936768,3.8720600605011,2.93055009841919,3.48690009117126,2.75494003295898,2.46688008308411,2.04469990730286,1.82117998600006,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Zimbabwe,ZWE,..,..,..,..,..,1.54405999183655,..,6.07020998001099,5.99597978591919,6.13835000991821,5.81278991699219,5.47262001037598,5.3810601234436,3.58728003501892,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Canada,CAN,6.59905815,6.4866991,6.57271051,6.70117044,7.52118206,7.47694063,7.30276871,7.4011817,7.3582077,7.23180246,7.58065939,7.67784119,7.56277943,7.58277988,7.60929585,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cambodia,KHM,1.22052443,0.95991439,0.97199392,1.02431202,1.21738589,1.36283231,1.27987134,1.406703,1.41955817,1.23977208,1.34465146,1.33381462,1.51867294,1.66258287,1.69888663,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,United States,USA,6.62940884,6.80890989,6.9233551,7.25172758,7.87523222,7.94476509,7.92789316,7.90049934,7.94619036,8.23888111,8.45250511,8.55732727,8.51218987,8.47234249,8.52492332,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Mexico,MEX,2.46497631,2.4219811,2.52675962,2.61655498,2.86067677,2.8809936,2.91415977,3.00721955,3.12253189,2.89231014,2.98734331,2.84779787,2.75801349,2.6718502,2.67891455,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Indonesia,IDN,0.73213077,0.83084285,1.01869869,0.89791238,0.92164314,0.66109073,0.70177156,0.76724905,0.81686825,0.99250942,1.15799761,1.37558305,1.34984493,1.395854,1.42157829,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Thailand,THA,2.013062,2.2303164,2.41405702,2.60726309,2.64681911,2.50096035,2.72706866,2.68024039,2.62275028,2.78856063,2.74870181,2.85137558,2.76579475,2.69087815,2.7152462,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,South Africa,ZAF,3.07617569,3.61328125,3.671134,3.73152447,4.23951578,4.44811392,4.53395033,4.5380373,4.52993202,4.75114346,5.01728439,4.99312115,4.98211432,5.07550335,5.35265827,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Angola,AGO,1.278759,1.44412029,1.72198606,2.13843656,2.60045815,1.67409575,1.71321797,1.56333554,1.69516742,1.31816006,1.23424077,1.19753671,1.29187,1.06878412,1.04434741,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Zimbabwe,ZWE,..,..,..,..,..,2.75335717,2.1196537,1.99878275,2.01807022,2.73156643,1.55136812,1.78890914,1.79418128,2.78293462,1.35826993,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Canada,CAN,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53,2.55,2.52,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Cambodia,KHM,..,..,..,..,..,0.84,0.7,..,0.7,..,0.8,0.9,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United States,USA,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Mexico,MEX,1.05,1.02,1.06,1.03,1.02,1.05,1.04,1.03,1.03,1.03,1,1,0.99,0.98,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Indonesia,IDN,..,..,..,..,0.59,0.57,0.62,0.83,0.99,0.94,0.98,0.99,1.04,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Thailand,THA,2.1,..,..,..,..,2.1,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,South Africa,ZAF,2.8,..,2.41,2.39,..,2.3,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Angola,AGO,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Zimbabwe,ZWE,..,3,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Canada,CAN,93,95,99,96,93,90,87,91,91,91,91,91,91,91,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Cambodia,KHM,82,80,82,91,95,90,91,90,71,92,92,91,91,90,94,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,United States,USA,92,93,93,94,93,93,94,93,93,93,93,94,94,93,93,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,96,85,88,82,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Indonesia,IDN,79,78,77,83,85,82,81,87,92,90,85,85,88,87,85,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Thailand,THA,98,98,98,99,99,99,99,99,99,99,99,99,99,97,97,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,South Africa,ZAF,75,79,79,77,75,72,71,69,79,85,85,76,76,74,77,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Angola,AGO,14,8,43,36,36,56,50,54,48,55,57,53,47,56,51,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Zimbabwe,ZWE,69,71,73,75,69,89,93,95,95,92,88,90,89,89,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,94,93,94,93,91,90,88,89,90,90,89,89,90,90,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cambodia,KHM,79,78,79,89,92,90,88,84,79,83,84,84,84,84,84,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United States,USA,92,92,92,92,90,92,92,91,92,92,92,92,92,92,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mexico,MEX,96,96,96,96,96,95,98,99,89,97,97,96,76,97,73,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Indonesia,IDN,77,79,76,76,74,78,80,82,87,86,87,88,90,89,88,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Thailand,THA,96,96,96,98,98,98,98,98,99,99,99,99,99,96,96,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,South Africa,ZAF,64,69,68,73,77,72,77,79,78,84,86,85,70,70,72,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Angola,AGO,21,21,58,48,46,62,57,65,59,56,51,45,42,50,51,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Zimbabwe,ZWE,67,68,69,70,76,90,92,97,93,92,86,95,90,88,85,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Canada,CAN,14,14,14,28,42,56,70,70,55,55,69,70,71,71,74,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Cambodia,KHM,..,80,82,91,92,91,91,91,86,91,92,93,93,92,92,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,United States,USA,93,93,93,94,92,92,91,90,91,92,92,93,93,91,91,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Mexico,MEX,98,98,98,97,95,93,98,99,82,84,82,93,58,55,56,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Indonesia,IDN,65,66,76,82,82,83,81,86,92,88,84,84,85,85,85,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Thailand,THA,96,96,96,98,98,98,98,98,99,99,99,99,99,97,97,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,South Africa,ZAF,79,83,83,76,74,71,76,70,73,85,85,76,76,74,77,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Angola,AGO,..,..,43,45,47,49,50,52,54,55,55,55,52,59,53,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Zimbabwe,ZWE,65,68,72,75,73,90,94,97,95,91,87,90,89,89,90,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Canada,CAN,93,95,94,92,91,89,87,91,91,91,91,91,91,91,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Cambodia,KHM,82,80,82,91,94,90,91,90,86,91,92,93,93,92,92,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,United States,USA,96,96,96,96,95,95,96,94,94,95,95,95,95,94,94,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Indonesia,IDN,72,72,73,77,78,81,81,87,92,88,84,84,85,85,85,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Thailand,THA,98,98,98,99,99,99,99,99,99,99,99,99,99,97,97,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,South Africa,ZAF,81,84,85,82,81,77,75,71,81,85,85,76,76,74,77,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Angola,AGO,47,44,48,49,50,51,52,53,54,55,59,59,56,63,57,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Zimbabwe,ZWE,68,70,73,75,73,89,93,95,95,91,87,90,89,89,90,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,1303,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of infant deaths,SH.DTH.IMRT,Canada,CAN,1800,1825,1845,1860,1869,1871,1866,1855,1839,1820,1799,1777,1757,1736,1715,1692
Number of infant deaths,SH.DTH.IMRT,Cambodia,KHM,18087,17129,16273,15398,14471,13519,12609,11775,11073,10493,9982,9523,9092,8661,8284,7938
Number of infant deaths,SH.DTH.IMRT,United States,USA,27762,27585,27261,26788,26200,25530,24844,24184,23594,23089,22671,22334,22068,21847,21652,21451
Number of infant deaths,SH.DTH.IMRT,Mexico,MEX,44987,43211,41560,40080,38731,37469,36250,35073,33910,32728,31538,30368,29178,28010,26892,25833
Number of infant deaths,SH.DTH.IMRT,Indonesia,IDN,164001,159233,154301,149371,144552,139744,134784,129886,124880,119782,114762,109901,105291,100791,96878,93233
Number of infant deaths,SH.DTH.IMRT,Thailand,THA,12466,11740,11069,10438,9838,9277,8738,8236,7774,7343,6932,6543,6178,5834,5503,5191
Number of infant deaths,SH.DTH.IMRT,South Africa,ZAF,53752,54092,52751,49598,44926,40694,38338,37180,36173,35302,34249,33356,32777,31810,30937,30153
Number of infant deaths,SH.DTH.IMRT,Angola,AGO,90613,88733,86660,84273,81692,79094,76429,73672,71175,69010,67198,65848,64778,63772,62880,62212
Number of infant deaths,SH.DTH.IMRT,Zimbabwe,ZWE,20791,22017,23113,23711,24133,23804,23680,21931,21210,20245,19665,18753,18018,17196,16615,16354
Number of stillbirths,SH.DTH.STLB,Canada,CAN,1037,1083,1129,1138,1126,1114,1116,1110,1107,1114,1097,1087,1089,1083,1072,..
Number of stillbirths,SH.DTH.STLB,Cambodia,KHM,7330,7095,6863,6645,6405,6146,5917,5671,5456,5269,5120,4979,4842,4696,4573,..
Number of stillbirths,SH.DTH.STLB,United States,USA,12382,12336,12454,12805,12247,12147,11987,11883,11799,11795,11810,11849,11861,11855,11844,..
Number of stillbirths,SH.DTH.STLB,Mexico,MEX,18512,18000,17560,17321,17106,16826,16514,16133,15793,15485,15333,15271,15287,15296,15136,..
Number of stillbirths,SH.DTH.STLB,Indonesia,IDN,66751,65867,64869,63706,62222,60411,58826,57229,55434,53740,51944,50229,48540,47093,45857,..
Number of stillbirths,SH.DTH.STLB,Thailand,THA,7513,7166,6843,6547,6252,5965,5664,5396,5148,4932,4748,4575,4420,4251,4098,..
Number of stillbirths,SH.DTH.STLB,South Africa,ZAF,21229,21161,21114,21110,21134,21016,20926,20837,20649,20493,20415,20272,20106,19874,19612,..
Number of stillbirths,SH.DTH.STLB,Angola,AGO,25531,25484,25469,25582,25660,25603,25525,25415,25444,25392,25458,25538,25673,25745,25967,..
Number of stillbirths,SH.DTH.STLB,Zimbabwe,ZWE,10010,10407,10806,11135,11333,11335,11163,10857,10386,9358,8392,7743,7335,7169,7113,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Canada,CAN,..,1.9086,..,1.959,..,2.0384,..,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102,2.4251,2.4425,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cambodia,KHM,..,..,..,0.2444,0.2378,0.2302,0.2263,0.1651,..,0.1927,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6036,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Mexico,MEX,3.5303,3.762,3.843,3.8988,3.9581,3.9972,4.2008,4.2236,4.311,4.4526,4.6493,4.6488,4.7654,4.8496,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Indonesia,IDN,..,..,..,..,0.2635,0.243,..,0.2007,0.3121,..,0.2738,..,0.3767,0.4269,0.4651,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Thailand,THA,..,0.2875,0.2959,0.3164,0.3387,0.3906,..,..,..,..,0.4651,0.445,0.8075,0.805,0.9188,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,South Africa,ZAF,..,..,0.6988,0.6968,0.7074,0.7207,0.7227,0.7277,0.7422,0.7541,0.7814,0.7675,0.7833,0.7874,0.7923,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Angola,AGO,..,..,..,..,0.1313,..,..,..,..,..,..,..,0.2146,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Zimbabwe,ZWE,0.1255,..,0.0544,0.0596,0.121,0.1272,0.0817,0.0807,0.0834,0.124,0.1815,0.1788,0.1859,0.2096,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Canada,CAN,9.9467,10.0236,10.1208,10.289,10.3743,9.3233,9.2368,9.3473,9.4788,9.7475,9.8188,9.9194,9.9491,9.9874,11.812,..
