Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2006-0344-USA,2006,0344,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Huron, Erie, Crawford, Lucas, Sandusky districts (Ohio province)",Severe storms,,,,,,,6780,Km2,41.41,-86.91,,"Huron, Cuyahoga",2006,6,22,2006,6,25,2,,2400,,2400,,,,,7000,9409,74.39638749,2,,30736;30741;30758;30767;30791,"Crawford, Erie, Huron, Lucas, Sandusky (Adm2)."
2006-0413-USA,2006,0413,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,El Paso district (Texas province),Heavy rain,,,,,,,3610,Km2,31.76,-106.39,,Rio Grande,2006,7,27,2006,8,7,,,,,,,,,,100000,134415,74.39638749,2,,31269,El Paso (Adm2).
2006-0418-USA,2006,0418,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Lake district (Ohio province),Heavy rain,,,,,,,4720,Km2,41.52,-81.09,,"Grand, Chagrin rivers",2006,7,27,2006,7,30,1,,600,,600,,,,,,,74.39638749,2,,30762,Lake (Adm2).
2006-0461-USA,2006,0461,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Alaska province,Heavy rain,,,,,,,95940,Km2,62.45,-99.99,,"Little Sustina, Kahiltna, Sheridan, Eyak, Lake Creek, Campbell Creek",2006,8,19,2006,8,24,,,150,,150,,,,,15500,20834,74.39638749,1,3215,,Alaska (Adm1).
2006-0566-USA,2006,0566,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Prince William Sound area (Valdez-Cordova district, Alaska province)",Heavy rain,,,,,,,51560,Km2,60.88,-145.99,,"Copper, Lowe",2006,10,9,2006,10,14,,,100,,100,,,,,,,74.39638749,2,,154734,Valdez-Cordova (Adm2).
2006-0598-USA,2006,0598,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Washington, Oregon provinces",Heavy rains,,,,,,,57890,Km2,47.86,-122.15,,"Cowlitz, Skokomish, Skykomish, Tolt, Puyallup, Skagit, Snohomish, Pilchuck, Carbon, Snoqualmie, South Fork of the Stillaguamish, Nisqually, White, Wenatchee rivers (Washington); White, Columbia, Nehalem, Wilson rivers (Oregon)",2006,11,5,2006,11,10,2,,1500,,1500,,,,,,,74.39638749,1,3251;3261,,"Oregon, Washington (Adm1)."
2006-0387-USA,2006,0387,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,,,,,,50,�C,,,,,2006,7,14,2006,8,15,164,,,,,,,,,,,74.39638749,2,,28914,Stanislaus (Adm2).
2006-0427-USA,2006,0427,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,New York province,,,,,,Yes,,44,�C,,,,,2006,7,30,2006,8,6,24,,,,,,,,,,,74.39638749,1,3246,,New York (Adm1).
2006-0576-USA,2006,0576,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,United States of America (the),USA,Northern America,Americas,"Riverside, Palm Springs cities (Riverside district, California province), San Diego district (California province)",,,,,,Yes,,,Km2,,,,,2006,10,26,2006,10,27,4,1,,102,103,,,,,25000,33604,74.39638749,2,,28897;28901,"Riverside, San Diego (Adm2)."
2006-0662-USA,2006,0662,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,United States of America (the),USA,Northern America,Americas,Ventura district (California province),,,,,,Yes,,,Km2,,,,,2006,12,3,2006,12,6,,,,15,15,,,,,25000,33604,74.39638749,2,,28920,Ventura (Adm2).
2006-0478-USA,2006,0478,,Technological,Technological,Transport accident,Air,,,United States of America (the),USA,Northern America,Americas,Near Lexington airport (Kentucky),,,,,No,No,,,,,,,,2006,8,27,2006,8,27,49,,1,,1,,,,,,,74.39638749,,,,
2006-0399-USA,2006,0399,,Technological,Technological,Transport accident,Water,,"""Paquebot ""Crown princess""",United States of America (the),USA,Northern America,Americas,Florida,,,,,No,No,,,,,,,,2006,7,18,2006,7,18,,100,,,100,,,,,,,74.39638749,,,,
2006-0005-USA,2006,0005,,Technological,Technological,Industrial accident,Explosion,,Mine,United States of America (the),USA,Northern America,Americas,Tallmansville (Virginia),,,,,No,No,,,m3,,,,,2006,1,2,2006,1,2,13,1,6,,7,,,,,,,74.39638749,,,,
2006-0637-USA,2006,0637,,Technological,Technological,Miscellaneous accident,Fire,,Hall for mentally handicapped people,United States of America (the),USA,Northern America,Americas,Anderson (Missouri),,,,,No,No,,,,,,,,2006,11,26,2006,11,27,10,19,,,19,,,,,,,74.39638749,,,,
2006-0374-USA,2006,0374,,Natural,Climatological,Wildfire,,,,United States of America (the),USA,Northern America,Americas,California province,,,,,,Yes,,350,Km2,,,,,2006,7,9,2006,7,14,1,17,,150,167,,,,,16000,21506,74.39638749,1,3218,,California (Adm1).
2006-0744-USA,2006,0744,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Oregon, Washington provinces",,,,,,,,,Kph,,,,,2006,12,14,2006,12,15,10,,,,,,,200000,268830,,,74.39638749,1,3251;3261,,"Oregon, Washington (Adm1)."
2006-0181-ZAF,2006,0181,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"Taung town (Greater Taung area, Dr Ruth Segomotsi Mompati district, North West province)",Heavy rain,,,,,,,2500,Km2,-27.44,24.83,,,2006,3,26,2006,3,30,6,,4160,,4160,127548,171444,,,71000,95435,74.39638749,2,,77348,Dr Ruth Segomotsi Mompati District Municipality (Adm2).
2006-0431-ZAF,2006,0431,,Natural,Hydrological,Flood,Riverine flood,,,South Africa,ZAF,Southern Africa,Africa,"Eastern Cape, Western Cape provinces",Heavy rain,,,,,,,21840,Km2,-33.538,26.3,,Chatty river,2006,8,2,2006,8,4,6,,3000,,3000,,,,,145000,194902,74.39638749,1,2714;77310,,"Eastern Cape, Western Cape (Adm1)."
2006-0075-ZAF,2006,0075,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Cap,,,,,No,No,,,,,,,,2006,2,7,2006,2,7,11,35,,,35,,,,,,,74.39638749,,,,
2006-0305-ZAF,2006,0305,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Leeu-Gamka,,,,,No,No,,,,,,,,2006,6,18,2006,6,18,12,,,,,,,,,,,74.39638749,,,,
2006-0307-ZAF,2006,0307,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Kroonstad,,,,,No,No,,,,,,,,2006,6,18,2006,6,18,11,,,,,,,,,,,74.39638749,,,,
2006-0330-ZAF,2006,0330,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Lichtenburg,,,,,No,No,,,,,,,,2006,6,24,2006,6,24,14,4,,,4,,,,,,,74.39638749,,,,
2006-0358-ZAF,2006,0358,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Johannesburg,,,,,No,No,,,,,,,,2006,7,8,2006,7,8,10,,,,,,,,,,,74.39638749,,,,
2006-0752-ZAF,2006,0752,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Pietermaritzburg,,,,,No,No,,,,,,,,2006,12,24,2006,12,24,12,34,,,34,,,,,,,74.39638749,,,,
2006-0238-ZAF,2006,0238,,Technological,Technological,Transport accident,Water,,"Cargo ""Alexandros T""",South Africa,ZAF,Southern Africa,Africa,Eastern cape province coast,,,,,No,No,,,,,,,,2006,5,4,2006,5,4,26,,7,,7,,,,,,,74.39638749,,,,
2006-0592-ZAF,2006,0592,,Technological,Technological,Transport accident,Rail,,,South Africa,ZAF,Southern Africa,Africa,Somerset (Western cape),,,,,No,No,,,,,,,,2006,11,13,2006,11,13,20,6,,,6,,,,,,,74.39638749,,,,
2006-0228-ZAF,2006,0228,,Technological,Technological,Miscellaneous accident,Fire,,,South Africa,ZAF,Southern Africa,Africa,Johannesburg,,,,,No,No,,,,,,,,2006,3,29,2006,3,29,12,33,,,33,,,,,,,74.39638749,,,,
2007-0026-USA,2007,0026,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"California, Texas, Georgia, South Carolina, Oklahoma, Missouri, Iowa, Michigan, New York, Maine, Kansas, Illinois provinces",,Rain,Cold wave,,,Yes,,,Kph,,,,,2007,1,12,2007,1,17,65,220,,,220,,,200000,261374,500000,653435,76.5186792,1,3218;3224;3227;3229;3230;3233;3236;3239;3246;3250;3254;3257,,"California, Georgia, Illinois, Iowa, Kansas, Maine, Michigan, Missouri, New York, Oklahoma, South Carolina, Texas (Adm1)."
2007-0066-USA,2007,0066,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, Vermont, New Jersey, Ohio, Pennsylvania provinces",,Cold wave,,,,,,64,Kph,,,,,2007,2,14,2007,2,15,16,,,,,,,200000,261374,140000,182962,76.5186792,1,3244;3246;3249;3252;3259,,"New Jersey, New York, Ohio, Pennsylvania, Vermont (Adm1)."
2007-0038-MEX,2007,0038,,Technological,Technological,Transport accident,Road,,,Mexico,MEX,Central America,Americas,Oaxaca,,,,,No,No,,,,,,,,2007,1,24,2007,1,24,29,25,,,25,,,,,,,76.5186792,,,,
2007-0025-THA,2007,0025,,Technological,Technological,Transport accident,Road,,,Thailand,THA,South-Eastern Asia,Asia,Chiang Mai,,,,,No,No,,,,,,,,2007,1,19,2007,1,19,16,30,,,30,,,,,,,76.5186792,,,,
2007-0055-THA,2007,0055,,Technological,Technological,Transport accident,Rail,,,Thailand,THA,South-Eastern Asia,Asia,Nong-Kae railway station (Near Huan Jin),,,,,No,No,,,,,,,,2007,1,14,2007,1,14,3,100,,,100,,,,,,,76.5186792,,,,
2007-0048-USA,2007,0048,TO-2007-000024,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Volusia, Lake, Sumter, Seminole districts (Florida province)",,,,,,Yes,,265,Kph,,,,,2007,2,2,2007,2,2,20,,6600,,6600,,,200000,261374,130000,169893,76.5186792,2,,29031;29054;29057;29061,"Lake, Seminole, Sumter, Volusia (Adm2)."
2007-0041-USA,2007,0041,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Indiana, Arkansas, Texas, Ohio, Missouri provinces",Heavy rains,,,,,,,434,Km2,34.88,-90.07,,"Wabash, White, East Fork of White River, Lower Ohio, Patoka, Black, St Francis, White, Cache, Ouachita, Sabine, Navasota, Neches, Sulpher, lower Ohio",2007,1,15,2007,1,25,24,,,,,,,,,,,76.5186792,1,3217;3228;3239;3249;3257,,"Arkansas, Indiana, Missouri, Ohio, Texas (Adm1)."
2007-0045-ZAF,2007,0045,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,On road of Mpumalanga province,,,,,No,No,,,,,,,,2007,2,1,2007,2,1,20,,,,,,,,,,,76.5186792,,,,
2005-0404-ZWE,2005,0404,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Zimbabwe,ZWE,Eastern Africa,Africa,Eastern,,,,,No,No,,,Vaccinated,,,,,2005,5,,2005,6,,14,,203,,203,,,,,,,72.07141045,,,,
2005-0726-ZWE,2005,0726,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Zimbabwe,ZWE,Eastern Africa,Africa,"Chikomba, Buhera, Harare, Manicaland, Mashonaland Central, East and West, Masvingo, Midlands",,,,,No,No,,,Vaccinated,,,,,2005,12,10,2006,5,18,73,,980,,980,,,,,,,72.07141045,,,,
2005-0461-ZWE,2005,0461,,Technological,Technological,Transport accident,Road,,,Zimbabwe,ZWE,Eastern Africa,Africa,Matabeleland province,,,,,No,No,,,,,,,,2005,8,25,2005,8,25,18,62,,,62,,,,,,,72.07141045,,,,
2005-0765-ZWE,2005,0765,,Technological,Technological,Miscellaneous accident,Other,,Food poisoning,Zimbabwe,ZWE,Eastern Africa,Africa,Harare,,,,,No,No,,,,,,,,2005,11,13,2005,11,13,14,200,,,200,,,,,,,72.07141045,,,,
2006-0310-ZWE,2006,0310,,Technological,Technological,Transport accident,Road,,,Zimbabwe,ZWE,Eastern Africa,Africa,Between Harare and Chirundu,,,,,No,No,,,,,,,,2006,6,6,2006,6,6,18,43,,,43,,,,,,,74.39638749,,,,
2006-0426-ZWE,2006,0426,,Technological,Technological,Transport accident,Road,,,Zimbabwe,ZWE,Eastern Africa,Africa,Mashonaland West,,,,,No,No,,,,,,,,2006,8,7,2006,8,7,33,20,,,20,,,,,,,74.39638749,,,,
2007-0086-IDN,2007,0086,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Reok, Cibal, Wae Ri'i, Lamba Leda, Poco Renaka, Ruteng, Langke Rembong, Kota Komba, Sambi Rampas areas (Manggarai district, Nusatenggara Timur province), Manggarai Barat district (Nusatenggara Timur province) (East Nusa Tengarra province, Flores Isl.))",Torrential rain,"Slide (land, mud, snow, rock)",,,,,,3220,Km2,-8.57,120.76,,Wae Pesi,2007,3,1,2007,3,10,74,26,11530,,11556,,,,,,,76.5186792,2,,73788;73789,"Manggarai, Manggarai Barat (Adm2)."
2007-0283-IDN,2007,0283,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Donggala district (Sulawesi Tengah province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2007,7,,2007,7,,58,,5000,,5000,,,,,,,76.5186792,2,,73671,Donggala (Adm2).
2007-0312-IDN,2007,0312,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Morowali, Donggala, Parigimoutong, Poso, Tojounauna, Banggai, Toli-toli districts (Sulawesi Tengah province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,4600,Km2,-1.74,121.49,,Solato,2007,7,22,2007,8,7,88,12,3377,,3389,,,,,,,76.5186792,2,,73638;73671;73801;73821;73830;73872;73873,"Banggai, Donggala, Morowali, Parigimoutong, Poso, Tojounauna, Toli-toli (Adm2)."
2007-0610-IDN,2007,0610,FL-2007-000230,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banyumas, Batang, Blora, Demak, Cilacap, Grobodan, Karanganyar, Klaten, Kota Surakarta, Kudus, Pati, Pekalongan, Pemalang, Sragen, Sukoharjo, Tegal, Wonogiri districts (Jawa Tengah province), Bojonegoro, Gresik, Jember, Jombang, Lamongan, Lumajang, Madiun, Magetan, Mojokerto, Ngawi, Pacitan, Ponogoro, Trenggalek, Tuban, Tulungagung districts (Jawa Timur province), Kota Padang district (Sumatera Barat province)",Seasonal torrential rain,"Slide (land, mud, snow, rock)",,,,,,50690,Km2,-7.54,111.33,,"Bengawan Solo, Amprong, Madiun, Grindalu, Lusi",2007,12,25,2007,12,,127,95,259545,9875,269515,,,,,,,76.5186792,2,,18031;18032;18033;18036;18037;18038;18040;18042;18047;18049;18051;18052;18053;18058;18059;18060;18062;18067;18069;18070;18071;18081;18082;18083;18084;18086;18088;18089;18092;18098;18099;18100;18204,"Banyumas, Batang, Blora, Bojonegoro, Cilacap, Demak, Gresik, Grobogan, Jember, Jombang, Karanganyar, Klaten, Kota Padang, Kota Surakarta, Kudus, Lamongan, Lumajang, Madiun, Magetan, Mojokerto, Ngawi, Pacitan, Pati, Pekalongan, Pemalang, Ponorogo, Sragen, Sukoharjo, Tegal, Trenggalek, Tuban, Tulungagung, Wonogiri (Adm2)."
2007-0447-IDN,2007,0447,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pasir, Kota Balikpapan districts (Kalimantan Timur province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,5690,Km2,-1.08,116.72,,,2007,9,2,2007,9,4,4,,1000,,1000,,,,,,,76.5186792,2,,18130;73823,"Kota Balikpapan, Pasir (Adm2)."
2007-0440-IDN,2007,0440,EQ-2007-000157,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bengkulu, Jambi, Riau, Sumatera Barat provinces",,Tsunami/Tidal wave,,Yes,,,,8,Richter,-4.438,101.367,18:00,,2007,9,12,2007,9,12,25,82,422685,36800,459567,,,,,500000,653435,76.5186792,1,1514;1518;1535;73618,,"Bengkulu, Jambi, Riau, Sumatera Barat (Adm1)."
2007-0538-AGO,2007,0538,,Technological,Technological,Industrial accident,Chemical spill,,,Angola,AGO,Middle Africa,Africa,Luanda,,,,,No,No,,,m3,,,,,2007,11,3,2007,11,3,5,100,,,100,,,,,,,76.5186792,,,,
2007-0659-AGO,2007,0659,,Natural,Biological,Epidemic,,,Unknown,Angola,AGO,Middle Africa,Africa,Cacuaco municipality,,,,,No,No,,,Vaccinated,,,,,2007,10,2,2007,11,29,,,468,,468,,,,,,,76.5186792,,,,
2007-0165-CAN,2007,0165,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Terrace city (Kitimat-Stikine district, British-Columbia province), Smithers city, Telkwa village (Bulkley-Nechako district, British-Columbia province), Prince George city, McBride village (Fraser-Fort George district, British Columbia province)",Snowmelt,,,,,,,205000,Km2,54.18,-125.03,,"Skeena, Bulkley, Nass, Telkwa, Fraser",2007,6,6,2007,6,11,,,500,,500,,,,,,,76.5186792,2,,12540;12551;12553,"Bulkley-Nechako, Fraser-Fort George, Kitimat-Stikine (Adm2)."
2007-0621-CAN,2007,0621,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Toronto, Ottawa districts (Ontario province), Montreal district (Quebec province)",,,,,,,,,Kph,,,,,2007,12,23,2007,12,26,4,,,,,,,,,,,76.5186792,2,,12671;12686;12713,"Montreal, Ottawa, Toronto (Adm2)."
2007-0087-IDN,2007,0087,EQ-2007-000033,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tanahdatar, Solok, Kota Solok, Padangpariaman, Kota Padangpanjang, Kota Payakumbuh, Kota Bukitinggi, Agam, Limapuluhkoto, Kota Pariaman districts (Sumatera Barat province)",,,,Yes,,,1900,6,Richter,-0.488,100.53,10:49,,2007,3,6,2007,3,6,67,826,136834,,137660,,,5000,6534,200000,261374,76.5186792,2,,18202;18205;18207;18208;18215;73716;73743;73746;73819;73853,"Agam, Kota Bukitinggi, Kota Padangpanjang, Kota Pariaman, Kota Payakumbuh, Kota Solok, Limapuluhkoto, Padangpariaman, Solok, Tanahdatar (Adm2)."
2007-0485-IDN,2007,0485,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Situbondo district (Java Timur province),,,,,,,,5,Richter,-7.783,114.338,01:36,,2007,9,9,2007,9,9,,19,450,,469,,,,,,,76.5186792,2,,18096,Situbondo (Adm2).
2007-0565-IDN,2007,0565,EQ-2007-000218,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Sumbawa district (Nusatengarra Barat province),,,,,,,,7,Richter,-8.292,118.37,00:02,,2007,11,25,2007,11,25,3,1800,20000,,21800,,,,,,,76.5186792,2,,73858,Sumbawa (Adm2).
2007-0259-IDN,2007,0259,VO-2007-000095,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamkonora,Indonesia,IDN,South-Eastern Asia,Asia,"South Ibu sub-district (Halmahera Barat district, Maluku Utara province)",,,,,,,,,,,,14:50,,2007,7,9,2007,7,9,,,9758,,9758,,,,,,,76.5186792,2,,73677,Halmahera Barat (Adm2).
2007-0511-IDN,2007,0511,VO-2007-000186,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Kediri, Blitar districts (Jawa Timur province)",,,,,,,,,,-7.93,112.308,,,2007,10,16,2007,10,18,,,22154,,22154,,,,,,,76.5186792,2,,18066;18072,"Blitar, Kediri (Adm2)."
2007-0175-IDN,2007,0175,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kutai Barat, Kutai Kartanegara districts (Kalimantan Timur province)",Heavy rain,,,,,,,34350,Km2,-0.19,116.92,,Mahakam river,2007,5,15,2007,6,5,4,,60000,,60000,,,,,,,76.5186792,2,,73766;73767,"Kutai Barat, Kutai Kartanegara (Adm2)."
2007-0309-IDN,2007,0309,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Larompong, Suli areas (Luwu district, Sulawesi Selatan province)",Heavy rain,,,,,,,2400,Km2,-3.28,120.2,,,2007,7,25,2007,8,2,15,,2000,,2000,,,,,,,76.5186792,2,,73779,Luwu (Adm2).
2007-0274-IDN,2007,0274,EP-2007-000099,Natural,Biological,Epidemic,Viral disease,,Dengue,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,No,No,,,Vaccinated,,,,,2007,7,,2007,7,,365,,34542,,34542,,,,,,,76.5186792,,,,
2007-0651-IDN,2007,0651,,Natural,Biological,Epidemic,Viral disease,,Dengue,Indonesia,IDN,South-Eastern Asia,Asia,"Jakarta, Bogor, Depok, Tangerang, Bekasi",,,,,No,No,,,Vaccinated,,,,,2007,2,,2007,3,,16,,312,,312,,,,,,,76.5186792,,,,
2007-0088-IDN,2007,0088,,Technological,Technological,Transport accident,Air,,,Indonesia,IDN,South-Eastern Asia,Asia,Yogyakarta,,,,,No,No,,,,,,,,2007,3,7,2007,3,7,22,50,,,50,,,,,,,76.5186792,,,,
2007-0090-IDN,2007,0090,,Technological,Technological,Transport accident,Water,,Ferry Levina I,Indonesia,IDN,South-Eastern Asia,Asia,Tanjung Priok (North Jakarta),,,,,No,No,,,,,,,,2007,2,22,2007,2,22,77,,,,,,,,,,,76.5186792,,,,
2007-0272-IDN,2007,0272,,Technological,Technological,Transport accident,Water,,"Passenger ship ""Wahai Star""",Indonesia,IDN,South-Eastern Asia,Asia,Moluques,,,,,No,No,,,,,,,,2007,7,11,2007,7,11,47,,,,,,,,,,,76.5186792,,,,
2007-0702-IDN,2007,0702,,Technological,Technological,Transport accident,Water,,"Ferry ""Acita""",Indonesia,IDN,South-Eastern Asia,Asia,Buton Isl. (Sulawesi),,,,,No,No,,,,,,,,2007,10,18,2007,10,18,60,20,,,20,,,,,,,76.5186792,,,,
2007-0704-IDN,2007,0704,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Roksi Asikin (Sulawesi),,,,,No,No,,,,,,,,2007,10,25,2007,10,25,30,,,,,,,,,,,76.5186792,,,,
2007-0626-IDN,2007,0626,,Technological,Technological,Miscellaneous accident,Collapse,,Bridge,Indonesia,IDN,South-Eastern Asia,Asia,Madiun district (Java province),,,,,No,No,,,,,,,,2007,12,26,2007,12,26,50,,,,,,,,,,,76.5186792,,,,
2008-0092-IDN,2008,0092,FL-2008-000030,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jepara, Pati districts (Jawa Tengah province), Ende, Ngada, Sikka, Sumba Barat, Timor Tengah Utara, Kupang districts (Nusatenggara Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,-6.8,111.06,,,2008,2,11,2008,2,27,11,,3500,,3500,,,,,,,79.4563044,2,,18039;18051;18151;18155;18156;18157;18160;73765,"Ende, Jepara, Kupang, Ngada, Pati, Sikka, Sumba Barat, Timor Tengah Utara (Adm2)."
2008-0526-IDN,2008,0526,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Campaka, Cibeber areas (Cianjur district, Java Barat province), Sumatera Barat, Bengkulu, Sulawesi Selatan, Sulawesi Tengah, Sulawasi Barat, Sulawesi Tenggara, Jawa Tengah, Jawa Timur, Kalimantan Timur provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2008,11,15,2008,11,16,33,,83000,1420,84420,,,,,,,79.4563044,1;2,1514;1520;1521;1525;1532;1533;1535;73619;73620,18010,"Bengkulu, Jawa Tengah, Jawa Timur, Kalimantan Timur, Sulawesi Barat, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara, Sumatera Barat (Adm1). Cianjur (Adm2)."
2008-0108-IDN,2008,0108,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Boyolali, Klaten, Kota Surakarta, Sukoharjo districts (Jawa Tengah province), Bojonegoro, Lamongan, Ngawi districts (Jawa Timur province)",Heavy rain,Broken Dam/Burst bank,,,,,,11590,Km2,-7.13,112.37,,"Bengawan Solo, Mengawan Madiun",2008,3,1,2008,3,14,3,,12000,,12000,,,,,,,79.4563044,2,,18034;18042;18047;18059;18067;18081;18088,"Bojonegoro, Boyolali, Klaten, Kota Surakarta, Lamongan, Ngawi, Sukoharjo (Adm2)."
2008-0264-CAN,2008,0264,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"James Bay area (Cochrane, Kenora districts, North Ontario province)",,Snow/ice,,,,,,3180,Km2,52.15,-81.96,,Albany river,2008,4,26,2008,5,1,,,2000,,2000,,,,,,,79.4563044,2,,12645;12660,"Cochrane, Kenora (Adm2)."
2008-0060-AGO,2008,0060,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Menongue, Missombo, Caiundo villages (Menongue district, Cuando Cubango province), Cuangar, Savate villages (Cuangar district, Cuando Cubango province), Dirico, Mucusso villages (Dirico district, Cuando Cubango province), Calai, Nankova, Rivungo, Mavinga, Cuito Cuanavale districts (Cuando Cubango province), Namibe, Huila, Cunene provinces",Heavy rains,,,Yes,,,,,Km2,-17.05,17.26,,,2008,1,31,2008,3,3,7,,81400,,81400,,,,,,,79.4563044,1;2,404;406;413,4236;4237;4239;4240;4241;4242;4243;4244,"Cunene, Huila, Namibe (Adm1). Calai, Cuangar, Cuito Cuanavale, Dirico, Mavinga, Menongue, Nankova, Rivungo (Adm2)."
2008-0105-AGO,2008,0105,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Angola,AGO,Middle Africa,Africa,Cunene province,,,,,No,No,,,Vaccinated,,,,,2008,1,1,2008,11,30,229,,9942,,9942,,,,,,,79.4563044,,,,
2008-0511-AGO,2008,0511,EP-2008-000218,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Angola,AGO,Middle Africa,Africa,"Uige, Luanda, Kwanza Norte, Malanje, Kwanza Sul, Huila, Cunene",,,,,No,No,,,Vaccinated,,,,,2008,1,1,2009,5,17,134,,7495,,7495,,,,,,,79.4563044,,,,
2008-0024-AGO,2008,0024,,Technological,Technological,Transport accident,Air,,King Air B200,Angola,AGO,Middle Africa,Africa,Huambo,,,,,No,No,,,,,,,,2008,1,19,2008,1,19,25,,,,,,,,,,,79.4563044,,,,
